year,month,day,hour,minute,msl,t2m,tp,u10,v10,vis
2010,1,5,4,0,100434.3503,8.70911,0.0,-3.88303,-4.30368,10000.0
2010,1,5,5,0,100428.08696,8.41328,0.0,-3.6529,-4.78188,10000.0
2010,1,5,6,0,100450.71581,8.25806,0.0,-3.47644,-5.19427,10000.0
2010,1,5,7,0,100526.381,8.26641,0.0,-3.32034,-5.46753,10000.0
2010,1,5,8,0,100571.84073,8.08961,0.0,-3.02111,-5.63549,10000.0
2010,1,5,9,0,100661.44691,8.07639,0.0,-2.95262,-5.71634,10000.0
2010,1,5,10,0,100739.94071,8.44808,0.00046,-3.09699,-5.65304,10000.0
2010,1,5,11,0,100757.72052,8.54136,0.0,-2.89339,-5.72136,10000.0
2010,1,5,12,0,100786.91577,8.68057,0.0,-2.43188,-5.83793,10000.0
2010,1,5,13,0,100748.22448,8.74739,0.0,-1.99629,-5.82226,10000.0
2010,1,5,14,0,100762.97364,8.58451,0.0,-1.57859,-5.79782,10000.0
2010,1,5,15,0,100765.90327,8.37708,0.0,-1.24419,-5.75207,10000.0
2010,1,5,16,0,100798.83632,8.15574,0.0,-1.10722,-5.65367,10000.0
2010,1,5,17,0,100867.63204,7.34274,0.0,-1.10907,-5.37602,10000.0
2010,1,5,18,0,100881.77507,6.95782,0.0,-1.19853,-5.01377,10000.0
2010,1,5,19,0,100927.53786,6.52904,0.0,-1.33242,-4.57004,10000.0
2010,1,5,20,0,100937.33696,6.24226,0.0,-1.40399,-3.99783,10000.0
2010,1,5,21,0,100976.43233,5.53924,0.0,-1.34784,-3.44568,10000.0
2010,1,5,22,0,100981.58443,4.59608,0.0,-1.2121,-3.23823,10000.0
2010,1,5,23,0,100970.77512,4.22229,0.0,-1.66991,-2.67417,10000.0
2010,1,6,0,0,100962.2893,4.12902,0.0,-1.87104,-1.89451,10000.0
2010,1,6,1,0,100933.39712,3.85408,0.0,-1.71988,-1.08539,10000.0
